CASE	fstar	vbc	vc	fx	sed	tau	LW flag	LW w/s	pop	func	PH	Zeta	xHI(z=6)	tau
1	0.05	1	16.5	1	1	0.066	0	0	2	1	2	20	0.0549	0.0667
2	0.158	1	4.2	1.58	4	0.066	1	0.75	2	1	2	21	0.0023	0.0659
3	0.158	1	4.2	1.58	4	0.082	1	0.75	2	1	2	41	0	0.0818
4	0.158	1	4.2	1.58	5	0.066	1	0.75	2	1	2	21	0.0023	0.0659
5	0.158	1	4.2	1.58	5	0.082	1	0.75	2	1	2	41	0	0.0818
6	0.158	1	4.2	0.16	4	0.066	1	0.75	2	1	2	21	0.0023	0.0659
7	0.158	1	4.2	0.16	4	0.082	1	0.75	2	1	2	41	0	0.0818
8	0.158	1	4.2	0.16	5	0.066	1	0.75	2	1	2	21	0.0023	0.0659
9	0.158	1	4.2	0.16	5	0.082	1	0.75	2	1	2	41	0	0.0818
10	0.015	1	4.2	1.58	4	0.066	1	0.75	2	1	2	19	0.0519	0.0687
11	0.015	1	4.2	1.58	4	0.082	1	0.75	2	1	2	32	0	0.0818
12	0.015	1	4.2	1.58	5	0.066	1	0.75	2	1	2	19	0.0519	0.0687
13	0.015	1	4.2	1.58	5	0.082	1	0.75	2	1	2	32	0	0.0818
14	0.015	1	4.2	0.16	4	0.066	1	0.75	2	1	2	19	0.0519	0.0687
15	0.015	1	4.2	0.16	4	0.082	1	0.75	2	1	2	32	0	0.0818
16	0.015	1	4.2	0.16	5	0.066	1	0.75	2	1	2	19	0.0519	0.0687
17	0.015	1	4.2	0.16	5	0.082	1	0.75	2	1	2	32	0	0.0818
18	0.158	1	35.5	1.58	4	0.066	0	0	2	1	2	54	0	0.0662
19	0.158	1	35.5	1.58	4	0.082	0	0	2	1	2	130	0	0.082
20	0.158	1	35.5	1.58	5	0.066	0	0	2	1	2	54	0	0.0662
21	0.158	1	35.5	1.58	5	0.082	0	0	2	1	2	130	0	0.082
22	0.158	1	35.5	0.16	4	0.066	0	0	2	1	2	54	0	0.0662
23	0.158	1	35.5	0.16	4	0.082	0	0	2	1	2	130	0	0.082
24	0.158	1	35.5	0.16	5	0.066	0	0	2	1	2	54	0	0.0662
25	0.158	1	35.5	0.16	5	0.082	0	0	2	1	2	130	0	0.082
26	0.015	1	35.5	1.58	4	0.066	0	0	2	1	2	53	0	0.0659
27	0.015	1	35.5	1.58	4	0.082	0	0	2	1	2	130	0	0.082
28	0.015	1	35.5	1.58	5	0.066	0	0	2	1	2	54	0	0.0662
29	0.015	1	35.5	1.58	5	0.082	0	0	2	1	2	130	0	0.082
30	0.015	1	35.5	0.16	4	0.066	0	0	2	1	2	54	0	0.0662
31	0.015	1	35.5	0.16	4	0.082	0	0	2	1	2	130	0	0.082
32	0.015	1	35.5	0.16	5	0.066	0	0	2	1	2	54	0	0.0662
33	0.015	1	35.5	0.16	5	0.082	0	0	2	1	2	130	0	0.082
34	0.5	1	4.2	10	2	0.066	0	0	2	2	2	PROBLEM		
35	0.5	1	4.2	10	2	0.098	0	0	2	2	2	PROBLEM		
36	0.5	1	4.2	10	6	0.066	0	0	2	2	2	PROBLEM		
37	0.5	1	4.2	10	6	0.098	0	0	2	2	2	PROBLEM		
38	0.5	1	4.2	0.1	2	0.066	0	0	2	2	2	PROBLEM		
39	0.5	1	4.2	0.1	2	0.098	0	0	2	2	2	PROBLEM		
40	0.5	1	4.2	0.1	6	0.066	0	0	2	2	2	PROBLEM		
41	0.5	1	4.2	0.1	6	0.098	0	0	2	2	2	PROBLEM		
42	0.005	1	4.2	10	2	0.066	0	0	2	2	2	PROBLEM		
43	0.005	1	4.2	10	2	0.098	0	0	2	2	2	PROBLEM		
44	0.005	1	4.2	10	6	0.066	0	0	2	2	2	PROBLEM		
45	0.005	1	4.2	10	6	0.098	0	0	2	2	2	PROBLEM		
46	0.005	1	4.2	0.1	2	0.066	0	0	2	2	2	PROBLEM		
47	0.005	1	4.2	0.1	2	0.098	0	0	2	2	2	PROBLEM		
48	0.005	1	4.2	0.1	6	0.066	0	0	2	2	2	PROBLEM		
49	0.005	1	4.2	0.1	6	0.098	0	0	2	2	2	PROBLEM		
50	0.5	1	76.5	10	2	0.066	0	0	2	1	2	450	0	0
51	0.5	1	76.5	10	2	0.098	0	0	2	1	2	6000	0	0
52	0.5	1	76.5	10	6	0.066	0	0	2	1	2	450	0	0.0659
53	0.5	1	76.5	10	6	0.098	0	0	2	1	2	6000	0	0.0979
54	0.5	1	76.5	0.1	2	0.066	0	0	2	1	2	450	0	0.0659
55	0.5	1	76.5	0.1	2	0.098	0	0	2	1	2	6000	0	0.0979
56	0.5	1	76.5	0.1	6	0.066	0	0	2	1	2	450	0	0.0659
57	0.5	1	76.5	0.1	6	0.098	0	0	2	1	2	6000	0	0.0979
58	0.005	1	76.5	10	2	0.066	0	0	2	1	2	450	0	0.0659
59	0.005	1	76.5	10	2	0.098	0	0	2	1	2	6000	0	0.0979
60	0.005	1	76.5	10	6	0.066	0	0	2	1	2	450	0	0.0659
61	0.005	1	76.5	10	6	0.098	0	0	2	1	2	6000	0	0.0979
62	0.005	1	76.5	0.1	2	0.066	0	0	2	1	2	450	0	0.0659
63	0.005	1	76.5	0.1	2	0.098	0	0	2	1	2	6000	0	0.0979
64	0.005	1	76.5	0.1	6	0.066	0	0	2	1	2	450	0	0.0659
65	0.005	1	76.5	0.1	6	0.098	0	0	2	1	2	6000	0	0.0979
